libelle_pays;code_pays
angleterre;132
azerbajan;253
bolivia plurinational state of;418
bonaire saint eustache et saba;443
bosnia herceg;118
british virgin islands;132
burkina;331
centrafricaine republique;323
co 80111 usa;404
congo republique democratique;312
congo the democratic republic of;312
coree republique de;239
coree republique populaire democratique de;238
cote d ivoire;326
czech republik;116
dominicaine republique;408
ecosse;132
eire;136
england;132
ex republique yougoslave de macedoine;156
fr polynesia;100
french guiana;100
french polynesia;100
guam;404
guatamala;409
hi 96743 usa;404
iran;204
iran islamic republic of;204
korea republic of;239
kosova;157
lao people s democratic republic;241
libyan arab jamahiriya;316
lituania;108
macedonia;156
macedonia the former yugoslav republic of;156
marshall iles;515
mauritius;390
mayotte;100
micronesie etats federes de;516
mn usa;404
moldova;151
moldova republic of;151
new caledonia;100
palaos iles;517
palestine state of;261
papouasie nouvelle guinee;510
peoples r china;216
polskie towarzystwo technologow zywnosci;122
province of china;216
puerto rico;432
quatar;248
rep of georgia;255
russia;123
russie fédération de;123
saint siege;129
salomon iles;512
samoa occidentales;506
scotland;132
serbia and montenegro;121
sikkim;223
south korea;239
taiwan;236
taiwan province of china;236
tanzania;309
tanzania united republic of;309
tchèque république;116
uk;132
united states;404
usa;404
vatican city state;129
venezuela bolivarian republic of;424
vietnam;243
